ball_x,ball_y,player_y
1052,696,469
1059,689,469
1066,682,469
1073,675,469
1080,668,469
1087,661,469
1094,654,469
1101,647,469
1108,640,469
1115,633,469
1122,626,469
1129,619,469
1136,612,469
1143,605,469
1150,598,469
1157,591,469
1164,584,469
1171,577,469
1178,570,469
1185,563,469
1192,556,469
1199,549,469
1206,542,462
1213,535,455
1220,528,448
1227,521,441
1234,514,434
1227,507,427
1220,500,420
1213,493,413
1206,486,406
1199,479,399
1192,472,392
1185,465,385
1178,458,378
1171,451,371
1164,444,364
1157,437,357
1150,430,350
1143,423,343
1136,416,336
1129,409,329
1122,402,322
1115,395,315
1108,388,315
1101,381,315
1094,374,315
1087,367,322
1080,360,329
1073,353,336
1066,346,343
1059,339,350
1052,332,357
1045,325,364
1038,318,371
1031,311,378
1024,304,385
1017,297,392
1010,290,399
1003,283,406
996,276,413
989,269,420
982,262,427
975,255,434
968,248,434
961,241,434
954,234,434
947,227,434
940,220,434
933,213,434
926,206,434
919,199,434
912,192,434
905,185,434
898,178,427
891,171,420
884,164,413
877,157,406
870,150,399
863,143,392
856,136,385
849,129,378
842,122,371
835,115,364
828,108,357
821,101,350
814,94,343
807,87,343
800,80,343
793,73,343
786,66,343
779,59,343
772,52,343
765,45,343
758,38,343
751,31,343
744,24,343
737,17,343
730,10,343
723,3,343
716,-4,343
709,3,343
702,10,343
695,17,343
688,24,343
681,31,343
674,38,343
667,45,343
660,52,343
653,59,343
646,66,343
639,73,343
632,80,343
625,87,343
618,94,343
611,101,343
604,108,343
597,115,343
590,122,343
583,129,343
576,136,343
569,143,343
562,150,343
555,157,343
548,164,343
541,171,343
534,178,343
527,185,343
520,192,343
513,199,343
506,206,343
499,213,343
492,220,343
485,227,343
478,234,343
471,241,343
464,248,343
457,255,343
450,262,343
443,269,343
436,276,343
429,283,343
422,290,343
415,297,343
408,304,343
401,311,343
394,318,343
387,325,343
380,332,343
373,339,343
366,346,343
359,353,343
352,360,343
345,367,343
338,374,343
331,381,343
324,388,343
317,395,343
310,402,343
303,409,343
296,416,343
289,423,343
282,430,343
275,437,343
268,444,343
261,451,343
254,458,343
247,465,343
240,472,343
233,479,343
226,486,343
219,493,343
212,500,343
205,507,343
198,514,343
